uf_code,uf_name,mesoregion_code,mesoregion_name,microregion_code,microregion_name,city_code,city_complete_code,city_name
12,AC,2,Vale do Acre,3,Sena Madureira,435,1200435,SANTA ROSA DO PURUS
12,AC,2,Vale do Acre,3,Sena Madureira,500,1200500,SENA MADUREIRA
12,AC,2,Vale do Acre,4,Rio Branco,450,1200450,SENADOR GUIOMARD
12,AC,1,Vale do Juruá,2,Tarauacá,609,1200609,TARAUACÁ
12,AC,2,Vale do Acre,5,Brasiléia,708,1200708,XAPURI
13,AM,3,Centro Amazonense,5,Tefé,29,1300029,ALVARÃES
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,60,1300060,AMATURÁ
13,AM,3,Centro Amazonense,6,Coari,86,1300086,ANAMÃ
13,AM,3,Centro Amazonense,6,Coari,102,1300102,ANORI
13,AM,4,Sul Amazonense,13,Madeira,144,1300144,APUÍ
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,201,1300201,ATALAIA DO NORTE
13,AM,3,Centro Amazonense,7,Manaus,300,1300300,AUTAZES
13,AM,1,Norte Amazonense,1,Rio Negro,409,1300409,BARCELOS
13,AM,3,Centro Amazonense,10,Parintins,508,1300508,BARREIRINHA
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,607,1300607,BENJAMIN CONSTANT
13,AM,3,Centro Amazonense,6,Coari,631,1300631,BERURI
13,AM,3,Centro Amazonense,10,Parintins,680,1300680,BOA VISTA DO RAMOS
13,AM,4,Sul Amazonense,11,Boca do Acre,706,1300706,BOCA DO ACRE
13,AM,4,Sul Amazonense,13,Madeira,805,1300805,BORBA
13,AM,3,Centro Amazonense,6,Coari,839,1300839,CAAPIRANGA
13,AM,4,Sul Amazonense,12,Purus,904,1300904,CANUTAMA
13,AM,2,Sudoeste Amazonense,4,Juruá,1001,1301001,CARAUARI
13,AM,3,Centro Amazonense,7,Manaus,1100,1301100,CAREIRO
13,AM,3,Centro Amazonense,7,Manaus,1159,1301159,CAREIRO DA VÁRZEA
13,AM,3,Centro Amazonense,6,Coari,1209,1301209,COARI
13,AM,3,Centro Amazonense,6,Coari,1308,1301308,CODAJÁS
13,AM,2,Sudoeste Amazonense,4,Juruá,1407,1301407,EIRUNEPÉ
13,AM,2,Sudoeste Amazonense,4,Juruá,1506,1301506,ENVIRA
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,1605,1301605,FONTE BOA
13,AM,2,Sudoeste Amazonense,4,Juruá,1654,1301654,GUAJARÁ
13,AM,4,Sul Amazonense,13,Madeira,1704,1301704,HUMAITÁ
13,AM,2,Sudoeste Amazonense,4,Juruá,1803,1301803,IPIXUNA
13,AM,3,Centro Amazonense,7,Manaus,1852,1301852,IRANDUBA
13,AM,3,Centro Amazonense,9,Itacoatiara,1902,1301902,ITACOATIARA
13,AM,2,Sudoeste Amazonense,4,Juruá,1951,1301951,ITAMARATI
13,AM,3,Centro Amazonense,9,Itacoatiara,2009,1302009,ITAPIRANGA
13,AM,1,Norte Amazonense,2,Japurá,2108,1302108,JAPURÁ
13,AM,2,Sudoeste Amazonense,4,Juruá,2207,1302207,JURUÁ
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,2306,1302306,JUTAÍ
13,AM,4,Sul Amazonense,12,Purus,2405,1302405,LÁBREA
13,AM,3,Centro Amazonense,7,Manaus,2504,1302504,MANACAPURU
13,AM,3,Centro Amazonense,7,Manaus,2553,1302553,MANAQUIRI
13,AM,3,Centro Amazonense,7,Manaus,2603,1302603,MANAUS
13,AM,4,Sul Amazonense,13,Madeira,2702,1302702,MANICORÉ
13,AM,1,Norte Amazonense,2,Japurá,2801,1302801,MARAÃ
13,AM,3,Centro Amazonense,10,Parintins,2900,1302900,MAUÉS
13,AM,3,Centro Amazonense,10,Parintins,3007,1303007,NHAMUNDÁ
13,AM,3,Centro Amazonense,9,Itacoatiara,3106,1303106,NOVA OLINDA DO NORTE
13,AM,1,Norte Amazonense,1,Rio Negro,3205,1303205,NOVO AIRÃO
13,AM,4,Sul Amazonense,13,Madeira,3304,1303304,NOVO ARIPUANÃ
13,AM,3,Centro Amazonense,10,Parintins,3403,1303403,PARINTINS
13,AM,4,Sul Amazonense,11,Boca do Acre,3502,1303502,PAUINI
13,AM,3,Centro Amazonense,8,Rio Preto da Eva,3536,1303536,PRESIDENTE FIGUEIREDO
13,AM,3,Centro Amazonense,8,Rio Preto da Eva,3569,1303569,RIO PRETO DA EVA
13,AM,1,Norte Amazonense,1,Rio Negro,3601,1303601,SANTA ISABEL DO RIO NEGRO
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,3700,1303700,SANTO ANTÔNIO DO IÇÁ
13,AM,1,Norte Amazonense,1,Rio Negro,3809,1303809,SÃO GABRIEL DA CACHOEIRA
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,3908,1303908,SÃO PAULO DE OLIVENÇA
13,AM,3,Centro Amazonense,10,Parintins,3957,1303957,SÃO SEBASTIÃO DO UATUMÃ
13,AM,3,Centro Amazonense,9,Itacoatiara,4005,1304005,SILVES
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,4062,1304062,TABATINGA
13,AM,4,Sul Amazonense,12,Purus,4104,1304104,TAPAUÁ
13,AM,3,Centro Amazonense,5,Tefé,4203,1304203,TEFÉ
13,AM,2,Sudoeste Amazonense,3,Alto Solimões,4237,1304237,TONANTINS
13,AM,3,Centro Amazonense,5,Tefé,4260,1304260,UARINI
13,AM,3,Centro Amazonense,10,Parintins,4302,1304302,URUCARÁ
13,AM,3,Centro Amazonense,9,Itacoatiara,4401,1304401,URUCURITUBA
14,RR,1,Norte de Roraima,1,Boa Vista,50,1400050,ALTO ALEGRE
14,RR,1,Norte de Roraima,1,Boa Vista,27,1400027,AMAJARI
14,RR,1,Norte de Roraima,1,Boa Vista,100,1400100,BOA VISTA
14,RR,1,Norte de Roraima,2,Nordeste de Roraima,159,1400159,BONFIM
14,RR,1,Norte de Roraima,2,Nordeste de Roraima,175,1400175,CANTÁ
14,RR,2,Sul de Roraima,3,Caracaraí,209,1400209,CARACARAÍ
14,RR,2,Sul de Roraima,4,Sudeste de Roraima,233,1400233,CAROEBE
14,RR,2,Sul de Roraima,3,Caracaraí,282,1400282,IRACEMA
14,RR,2,Sul de Roraima,3,Caracaraí,308,1400308,MUCAJAÍ
14,RR,1,Norte de Roraima,2,Nordeste de Roraima,407,1400407,NORMANDIA
14,RR,1,Norte de Roraima,1,Boa Vista,456,1400456,PACARAIMA
14,RR,2,Sul de Roraima,4,Sudeste de Roraima,472,1400472,RORAINÓPOLIS
14,RR,2,Sul de Roraima,4,Sudeste de Roraima,506,1400506,SÃO JOÃO DA BALIZA
14,RR,2,Sul de Roraima,4,Sudeste de Roraima,605,1400605,SÃO LUIZ
14,RR,1,Norte de Roraima,2,Nordeste de Roraima,704,1400704,UIRAMUTÃ
15,PA,4,Nordeste Paraense,11,Cametá,107,1500107,ABAETETUBA
15,PA,6,Sudeste Paraense,17,Paragominas,131,1500131,ABEL FIGUEIREDO
15,PA,4,Nordeste Paraense,12,Tomé-Açu,206,1500206,ACARÁ
15,PA,2,Marajó,5,Furos de Breves,305,1500305,AFUÁ
15,PA,6,Sudeste Paraense,19,Parauapebas,347,1500347,ÁGUA AZUL DO NORTE
15,PA,1,Baixo Amazonas,2,Santarém,404,1500404,ALENQUER
15,PA,1,Baixo Amazonas,3,Almeirim,503,1500503,ALMEIRIM
15,PA,5,Sudoeste Paraense,15,Altamira,602,1500602,ALTAMIRA
15,PA,2,Marajó,5,Furos de Breves,701,1500701,ANAJÁS
15,PA,3,Metropolitana de Belém,7,Belém,800,1500800,ANANINDEUA
15,PA,5,Sudoeste Paraense,15,Altamira,859,1500859,ANAPU
15,PA,4,Nordeste Paraense,10,Bragantina,909,1500909,AUGUSTO CORRÊA
15,PA,4,Nordeste Paraense,13,Guamá,958,1500958,AURORA DO PARÁ
15,PA,5,Sudoeste Paraense,14,Itaituba,1006,1501006,AVEIRO
15,PA,2,Marajó,4,Portel,1105,1501105,BAGRE
15,PA,4,Nordeste Paraense,11,Cametá,1204,1501204,BAIÃO
15,PA,6,Sudeste Paraense,18,São Félix do Xingu,1253,1501253,BANNACH
15,PA,3,Metropolitana de Belém,7,Belém,1303,1501303,BARCARENA
15,PA,3,Metropolitana de Belém,7,Belém,1402,1501402,BELÉM
15,PA,1,Baixo Amazonas,2,Santarém,1451,1501451,BELTERRA
15,PA,3,Metropolitana de Belém,7,Belém,1501,1501501,BENEVIDES
15,PA,6,Sudeste Paraense,17,Paragominas,1576,1501576,BOM JESUS DO TOCANTINS
15,PA,4,Nordeste Paraense,10,Bragantina,1600,1501600,BONITO
15,PA,4,Nordeste Paraense,10,Bragantina,1709,1501709,BRAGANÇA
15,PA,5,Sudoeste Paraense,15,Altamira,1725,1501725,BRASIL NOVO
15,PA,6,Sudeste Paraense,20,Marabá,1758,1501758,BREJO GRANDE DO ARAGUAIA
15,PA,6,Sudeste Paraense,16,Tucuruí,1782,1501782,BREU BRANCO
15,PA,2,Marajó,5,Furos de Breves,1808,1501808,BREVES
15,PA,3,Metropolitana de Belém,8,Castanhal,1907,1501907,BUJARU
15,PA,2,Marajó,6,Arari,2004,1502004,CACHOEIRA DO ARARI
15,PA,4,Nordeste Paraense,13,Guamá,1956,1501956,CACHOEIRA DO PIRIÁ
15,PA,4,Nordeste Paraense,11,Cametá,2103,1502103,CAMETÁ
15,PA,6,Sudeste Paraense,19,Parauapebas,2152,1502152,CANAÃ DOS CARAJÁS
15,PA,4,Nordeste Paraense,10,Bragantina,2202,1502202,CAPANEMA
15,PA,4,Nordeste Paraense,13,Guamá,2301,1502301,CAPITÃO POÇO
15,PA,3,Metropolitana de Belém,8,Castanhal,2400,1502400,CASTANHAL
15,PA,2,Marajó,6,Arari,2509,1502509,CHAVES
